original_link_id,bus_priority_link_id,original_modes,bus_priority_modes,original_capacity,bus_priority_capacity,original_permlanes,bus_priority_permlanes
l_1026_1_f,busprio_l_1026_1_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_1027_0_f,busprio_l_1027_0_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1027_1_f,busprio_l_1027_1_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1028_0_f,busprio_l_1028_0_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_1028_1_f,busprio_l_1028_1_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_1028_2_f,busprio_l_1028_2_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_1029_0_f,busprio_l_1029_0_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_1029_1_f,busprio_l_1029_1_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_102_1_f,busprio_l_102_1_f,"car,pt",pt,1200.0,3600.0,1.0,1.0
l_10316_0_f,busprio_l_10316_0_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_10316_1_f,busprio_l_10316_1_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_10316_2_f,busprio_l_10316_2_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_10316_3_f,busprio_l_10316_3_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_10317_0_f,busprio_l_10317_0_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_10317_1_f,busprio_l_10317_1_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_10317_2_f,busprio_l_10317_2_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_10318_0_f,busprio_l_10318_0_f,"car,pt",pt,3600.0,3600.0,2.0,2.0
l_10319_0_f,busprio_l_10319_0_f,"car,pt",pt,3600.0,3600.0,2.0,2.0
l_10320_0_f,busprio_l_10320_0_f,"car,pt",pt,3600.0,3600.0,2.0,2.0
l_10321_0_f,busprio_l_10321_0_f,"car,pt",pt,3600.0,3600.0,2.0,2.0
l_10322_0_f,busprio_l_10322_0_f,"car,pt",pt,3600.0,3600.0,2.0,2.0
l_10323_0_f,busprio_l_10323_0_f,"car,pt",pt,3600.0,3600.0,2.0,2.0
