"dimension","key","count"
"link","road_102664_0_f","56"
"link","road_57248_0_f","8"
"link","road_102857_0_f","4"
"link","road_93262_0_f","6"
"link","road_109125_0_f","9"
"link","road_102434_0_r","35"
"link","road_96862_0_f","11"
"link","road_107629_0_r","2"
"link","road_163781_0_f","1"
"link","road_61401_0_f","8"
"link","road_96114_0_f","7"
"link","road_59202_0_f","1"
"link","road_94175_0_f","2"
"link","road_58713_0_r","7"
"link","road_260814_0_f","2"
"link","road_102872_0_f","1"
"link","road_92981_0_r","5"
"link","road_62582_0_f","2"
"link","road_60375_0_f","20"
"link","road_58713_0_f","5"
"link","road_57706_0_f","13"
"link","road_94618_0_f","1"
"link","road_104985_0_f","4"
"link","road_111740_0_r","14"
"link","road_96840_0_f","1"
"link","road_93240_0_f","18"
"link","road_7645_0_r","1"
"link","road_111740_0_f","11"
"link","road_164657_0_f","8"
"link","road_65147_0_f","5"
"link","road_59641_0_r","2"
"link","road_100205_0_r","4"
"link","road_262942_0_f","5"
"link","road_111956_0_f","1"
"link","road_93456_0_f","20"
"link","road_284007_0_f","5"
"link","road_62560_0_r","9"
"link","road_105014_0_f","1"
"link","road_103570_0_r","4"
"link","road_59641_0_f","7"
"link","road_102605_0_f","2"
"link","road_103805_0_f","31"
"link","road_93010_0_f","19"
"link","road_593_0_f","2"
"link","road_265507_0_f","8"
"link","road_102125_0_f","10"
"link","road_103325_0_f","4"
"link","road_127280_0_f","26"
"link","road_60089_0_r","9"
"link","road_93419_0_f","16"
"link","road_60089_0_f","9"
"link","road_102549_0_r","1"
"link","road_102299_0_f","2"
"link","road_97236_0_f","1"
"link","road_5246_0_f","1"
"link","road_61531_0_r","16"
"link","road_92922_0_f","44"
"link","road_59812_0_f","2"
"link","road_111647_0_f","2"
"link","road_100644_0_f","3"
"link","road_103269_0_f","32"
"link","road_61531_0_f","2"
"link","road_ordered_trajectory_evidence_2b5109166da1_01022","1"
"link","road_58593_0_f","22"
"link","road_56923_0_f","3"
"link","road_58155_0_f","4"
"link","road_9063_0_f","2"
"link","road_5647_0_f","2"
"link","road_295714_0_f","1"
"link","road_270804_0_f","1"
"link","road_261471_0_f","1"
"link","road_260464_0_f","2"
"link","road_108018_0_f","1"
"link","road_107086_0_f","1"
"link","road_104409_0_f","2"
"link","road_100607_0_f","1"
"link","road_59102_0_f","3"
"link","road_57379_0_f","6"
"link","road_95770_0_f","2"
"link","road_94325_0_f","1"
"link","road_93125_0_f","2"
"link","road_64614_0_f","3"
"link","road_57413_0_f","1"
"link","road_58613_0_f","2"
"link","road_102047_0_f","1"
"link","road_103685_0_f","1"
"link","road_95483_0_f","1"
"link","road_103935_0_f","11"
"link","road_57394_0_f","3"
"link","road_95540_0_f","2"
"link","road_93333_0_f","1"
"link","road_58091_0_f","8"
"link","road_102255_0_f","1"
"link","road_285602_0_r","2"
"link","road_93069_0_r","6"
"link","road_57357_0_r","4"
"link","road_512_0_f","3"
"link","road_103950_0_f","1"
"link","road_101305_0_f","2"
"link","road_165311_0_f","7"
"link","road_57795_0_f","3"
"link","road_285602_0_f","18"
"link","road_104618_0_r","1"
"link","road_57357_0_f","9"
"link","road_108011_0_f","3"
"link","road_260212_0_f","1"
"link","road_93103_0_f","8"
"link","road_94016_0_r","1"
"link","road_97173_0_f","3"
"link","road_56845_0_f","1"
"link","road_104618_0_f","3"
"link","road_102679_0_f","13"
"link","road_125726_0_f","29"
"link","road_96661_0_f","1"
"link","road_61166_0_f","21"
"link","road_268527_0_f","2"
"link","road_64766_0_f","2"
"link","road_57758_0_f","28"
"link","road_164535_0_f","1"
"link","road_276425_0_f","2"
"link","road_93311_0_f","1"
"link","road_59485_0_f","14"
"link","road_261299_0_f","1"
"link","road_109828_0_f","1"
"link","road_107696_0_f","1"
"link","road_285546_0_f","1"
"link","road_62631_0_r","1"
"link","road_107730_0_f","7"
"link","road_62597_0_f","2"
"link","road_9881_0_f","1"
"link","road_58248_0_f","5"
"link","road_5354_0_f","4"
"link","road_268463_0_r","1"
"link","road_260171_0_f","3"
"link","road_94455_0_f","1"
"link","road_101227_0_r","1"
"link","road_3665_0_f","3"
"link","road_8667_0_f","1"
"link","road_102672_0_f","42"
"link","road_102865_0_f","1"
"link","road_102427_0_f","1"
"link","road_60425_0_r","1"
"link","road_57313_0_f","12"
"link","road_260134_0_f","1"
"link","road_102880_0_r","2"
