"person_id","pt_no_transit_route_lines","pt_no_stop_lines"
"hk_collective_000985","1","1"
"hk_collective_000987","1","1"
"hk_collective_000990","1","1"
"hk_collective_000991","1","1"
"hk_collective_000993","1","1"
"hk_collective_000996","1","1"
"hk_collective_000997","1","1"
"hk_collective_000999","1","1"
"hk_collective_001000","1","1"
"hk_collective_001001","1","1"
"hk_collective_001003","1","1"
"hk_collective_001006","1","1"
"hk_collective_001008","1","1"
"hk_collective_001010","1","1"
"hk_collective_001011","1","1"
"hk_collective_001012","1","1"
"hk_collective_001015","1","1"
"hk_collective_001017","1","1"
"hk_collective_001018","1","1"
"hk_collective_001020","1","1"
"hk_collective_001022","1","1"
"hk_collective_001023","1","1"
"hk_collective_001024","1","1"
"hk_collective_001025","1","1"
"hk_collective_001026","1","1"
"hk_collective_001027","1","1"
"hk_collective_001028","1","1"
"hk_collective_001029","1","1"
"hk_collective_001030","1","1"
"hk_collective_001031","1","1"
"hk_collective_001032","1","1"
"hk_collective_001033","1","1"
"hk_collective_001034","1","1"
"hk_collective_001035","1","1"
"hk_collective_001036","1","1"
"hk_collective_001038","1","1"
"hk_collective_001039","1","1"
"hk_collective_001040","1","1"
"hk_collective_001041","1","1"
"hk_collective_001042","1","1"
"hk_collective_001043","1","1"
"hk_collective_001046","1","1"
"hk_collective_001047","1","1"
"hk_collective_001048","1","1"
"hk_collective_001049","1","1"
"hk_collective_001050","1","1"
"hk_collective_001051","1","1"
"hk_collective_001052","1","1"
"hk_collective_001053","1","1"
"hk_collective_001054","1","1"
"hk_collective_001055","1","1"
"hk_collective_001057","1","1"
"hk_collective_001059","1","1"
"hk_collective_001060","1","1"
"hk_collective_001062","1","1"
"hk_collective_001064","1","1"
"hk_collective_001067","1","1"
"hk_collective_001068","1","1"
"hk_collective_001069","1","1"
"hk_collective_001070","1","1"
"hk_collective_001071","1","1"
"hk_collective_001073","1","1"
"hk_collective_001074","1","1"
"hk_collective_001075","1","1"
"hk_collective_001076","1","1"
"hk_collective_001077","1","1"
"hk_collective_001078","1","1"
"hk_collective_001080","1","1"
"hk_collective_001081","1","1"
"hk_collective_001082","1","1"
"hk_collective_001083","1","1"
"hk_collective_001084","1","1"
"hk_collective_001086","1","1"
"hk_collective_001087","1","1"
"hk_collective_001090","1","1"
"hk_collective_001091","1","1"
"hk_collective_001092","1","1"
"hk_collective_001094","1","1"
"hk_collective_001095","1","1"
"hk_collective_001096","1","1"
"hk_collective_001097","1","1"
"hk_collective_001098","1","1"
"hk_collective_001100","1","1"
"hk_collective_001101","1","1"
"hk_collective_001102","1","1"
"hk_collective_001103","1","1"
"hk_collective_001106","1","1"
"hk_collective_001108","1","1"
"hk_collective_001109","1","1"
"hk_collective_001110","1","1"
"hk_collective_001111","1","1"
"hk_collective_001114","1","1"
"hk_collective_001117","1","1"
"hk_collective_001118","1","1"
"hk_collective_001119","1","1"
"hk_collective_001121","1","1"
"hk_collective_001122","1","1"
"hk_collective_001124","1","1"
"hk_collective_001125","1","1"
"hk_collective_001126","1","1"
"hk_collective_001127","1","1"
"hk_collective_001129","1","1"
"hk_collective_001130","1","1"
"hk_collective_001131","1","1"
"hk_collective_001132","1","1"
"hk_collective_001133","1","1"
"hk_collective_001134","1","1"
"hk_collective_001135","1","1"
"hk_collective_001140","1","1"
"hk_collective_001141","1","1"
"hk_collective_001142","1","1"
"hk_collective_001143","1","1"
"hk_collective_001145","1","1"
"hk_collective_001147","1","1"
"hk_collective_001148","1","1"
"hk_collective_001149","1","1"
"hk_collective_001152","1","1"
"hk_collective_001154","1","1"
"hk_collective_001157","1","1"
"hk_collective_001160","1","1"
"hk_collective_001161","1","1"
"hk_collective_001164","1","1"
"hk_collective_001165","1","1"
"hk_collective_001166","1","1"
"hk_collective_001167","1","1"
"hk_collective_001169","1","1"
"hk_collective_001170","1","1"
"hk_collective_001171","1","1"
"hk_collective_001172","1","1"
"hk_collective_001173","1","1"
"hk_collective_001176","1","1"
"hk_collective_001177","1","1"
"hk_collective_001178","1","1"
"hk_collective_001179","1","1"
"hk_collective_001180","1","1"
"hk_collective_001181","1","1"
"hk_collective_001183","1","1"
"hk_collective_001184","1","1"
"hk_collective_001186","1","1"
"hk_collective_001187","1","1"
"hk_collective_001188","1","1"
"hk_collective_001189","1","1"
"hk_collective_001191","1","1"
"hk_collective_001194","1","1"
"hk_collective_001195","1","1"
"hk_collective_001196","1","1"
"hk_collective_001199","1","1"
"hk_collective_001200","1","1"
"hk_collective_001201","1","1"
"hk_collective_001202","1","1"
"hk_collective_001203","1","1"
"hk_collective_001204","1","1"
"hk_collective_001206","1","1"
"hk_collective_001207","1","1"
"hk_collective_001208","1","1"
"hk_collective_001209","1","1"
"hk_collective_001210","1","1"
"hk_collective_001211","1","1"
"hk_collective_001213","1","1"
"hk_collective_001214","1","1"
"hk_collective_001216","1","1"
"hk_collective_001217","1","1"
"hk_collective_001218","1","1"
"hk_collective_001219","1","1"
"hk_collective_001222","1","1"
"hk_collective_001225","1","1"
"hk_collective_001231","1","1"
"hk_collective_001233","1","1"
"hk_collective_001234","1","1"
"hk_collective_001236","1","1"
"hk_collective_001239","1","1"
"hk_collective_001240","1","1"
"hk_collective_001241","1","1"
"hk_collective_001242","1","1"
"hk_collective_001243","1","1"
"hk_collective_001244","1","1"
"hk_collective_001245","1","1"
"hk_collective_001246","1","1"
"hk_collective_001247","1","1"
"hk_collective_001248","1","1"
"hk_collective_001249","1","1"
"hk_collective_001251","1","1"
"hk_collective_001253","1","1"
"hk_collective_001255","1","1"
"hk_collective_001256","1","1"
"hk_collective_001258","1","1"
"hk_collective_001260","1","1"
"hk_collective_001261","1","1"
"hk_collective_001262","1","1"
"hk_collective_001263","1","1"
"hk_collective_001265","1","1"
"hk_collective_001266","1","1"
"hk_collective_001267","1","1"
"hk_collective_001268","1","1"
