"person_id","taxi_ordinal","hk_taxi_main_trip_index","plan_element_index","expected_departure_time_seconds","preceding_leg_modes","fare_hkd","taxi_type","classification_source","attribution_category","invalid_pt_before_element_indexes","removed_pt_before_element_indexes","stuck_before","last_observed_event_type","last_observed_event_time"
"hk_person_05160203","2","4","9","80116.0","pt|pt|taxi|taxi","59.7","new_territories_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","27753.0"
"hk_person_02381002","0","2","5","63050.0","pt|pt","276.1","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","32180.0"
"hk_person_02381002","1","3","7","74450.0","pt|pt|taxi","285.9","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","32180.0"
"hk_person_03048409","0","2","5","65044.0","pt|pt","109.5","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","26037.0"
"hk_person_03048409","1","3","7","71944.0","pt|pt|taxi","106.7","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","26037.0"
"hk_person_00673004","0","2","5","59336.0","pt|pt","56.3","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","27018.0"
"hk_person_00673004","1","3","7","65936.0","pt|pt|taxi","154.3","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","27018.0"
"hk_person_00673004","2","4","9","75536.0","pt|pt|taxi|taxi","154.3","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","27018.0"
"hk_person_04962176","0","2","5","64537.0","pt|pt","176.7","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","29322.0"
"hk_person_04962176","1","3","7","71437.0","pt|pt|taxi","267.7","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","29322.0"
"hk_person_04962176","2","4","9","78037.0","pt|pt|taxi|taxi","259.3","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","29322.0"
"hk_person_01845649","0","2","5","67140.0","pt|pt","75.2","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","30717.0"
"hk_person_01845649","1","3","7","78540.0","pt|pt|taxi","79.4","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","30717.0"
"hk_person_02629750","0","2","5","56817.0","pt|pt","29.0","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","24234.0"
"hk_person_02629750","1","3","7","63717.0","pt|pt|taxi","45.8","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","24234.0"
"hk_person_02629750","2","4","9","75117.0","pt|pt|taxi|taxi","43.7","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","24234.0"
"hk_person_00568852","0","2","5","78098.0","pt|pt","213.1","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","30156.0"
"hk_person_00568852","1","3","7","84698.0","pt|pt|taxi","141.7","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","30156.0"
"hk_person_00568852","2","4","9","91598.0","pt|pt|taxi|taxi","112.3","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","30156.0"
"hk_person_04596479","0","2","5","64372.0","pt|pt","311.1","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","34209.0"
