"person_id","taxi_ordinal","hk_taxi_main_trip_index","plan_element_index","departure_time_seconds","preceding_leg_modes","fare_hkd","taxi_type","classification_source","observed_departure","observed_arrival","missing_attribution"
"hk_collective_001840","0","0","1","50561.0","","31.2","new_territories_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001840","1","1","3","57461.0","taxi","50.2","new_territories_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001905","0","0","1","37356.0","","134.7","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001905","1","1","3","46956.0","taxi","133.3","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001927","0","2","5","57298.0","walk|walk","31.1","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001927","1","3","7","63898.0","walk|walk|taxi","75.2","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001927","2","4","9","71698.0","walk|walk|taxi|taxi","81.5","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001928","0","2","5","65316.0","pt|pt","150.1","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_001928","1","3","7","72216.0","pt|pt|taxi","137.5","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_001930","0","0","1","52319.0","","106.7","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001930","1","1","3","61919.0","taxi","105.3","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001947","0","2","5","63008.0","walk|walk","98.3","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001947","1","3","7","69908.0","walk|walk|taxi","108.1","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001959","0","0","1","33826.0","","35.3","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001959","1","1","3","43426.0","taxi","29.0","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001959","2","2","5","50026.0","taxi|taxi","52.1","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_001983","0","2","5","64237.0","pt|pt","38.8","new_territories_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_001983","1","3","7","75637.0","pt|pt|taxi","63.5","new_territories_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_001983","2","4","9","82237.0","pt|pt|taxi|taxi","85.3","new_territories_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_001984","0","0","1","29316.0","","238.3","urban_taxi","v1_mode_detail_explicit_taxi","true","true",""
"hk_collective_001984","1","1","3","64028.0","taxi","239.7","urban_taxi","v1_mode_detail_explicit_taxi","true","true",""
"hk_collective_002024","0","0","1","37204.0","","59.7","new_territories_taxi","v1_mode_detail_explicit_taxi","true","true",""
"hk_collective_002024","1","1","3","62468.0","taxi","151.1","new_territories_taxi","v1_mode_detail_explicit_taxi","true","true",""
"hk_collective_002024","2","2","5","68563.0","taxi|taxi","231.3","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_002024","3","3","7","75463.0","taxi|taxi|taxi","301.3","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_002067","0","0","1","31445.0","","71.0","urban_taxi","v1_mode_detail_explicit_taxi","true","true",""
"hk_collective_002067","1","1","3","58804.0","taxi","71.0","urban_taxi","v1_mode_detail_explicit_taxi","true","true",""
"hk_collective_002080","0","0","1","59548.0","","136.1","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_002080","1","1","3","66448.0","taxi","43.7","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_002080","2","2","5","73048.0","taxi|taxi","131.9","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_002083","0","2","5","71823.0","walk|walk","71.0","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_002083","1","3","7","78723.0","walk|walk|taxi","75.2","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_002085","0","0","1","33119.0","","79.4","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_002085","1","1","3","40019.0","taxi","75.2","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_002085","2","2","5","51419.0","taxi|taxi","43.7","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_002090","0","2","5","79200.0","pt|pt","274.7","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_002090","1","3","7","85800.0","pt|pt|taxi","281.7","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_002097","0","2","5","68211.0","walk|walk","29.0","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_002097","1","3","7","74811.0","walk|walk|taxi","29.0","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_002100","0","2","5","68417.0","walk|walk","45.8","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_002100","1","3","7","75317.0","walk|walk|taxi","43.7","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_002103","0","2","5","62675.0","walk|walk","56.3","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_002103","1","3","7","74075.0","walk|walk|taxi","29.0","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_002103","2","4","9","80675.0","walk|walk|taxi|taxi","73.1","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_002109","0","2","5","78299.0","pt|pt","83.6","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_002109","1","3","7","84899.0","pt|pt|taxi","75.2","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_002138","0","0","1","34655.0","","100.4","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_002138","1","1","3","44255.0","taxi","102.5","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_002242","0","0","1","57257.0","","62.6","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_002242","1","1","3","64157.0","taxi","39.5","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_002242","2","2","5","71957.0","taxi|taxi","60.5","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_002322","0","2","5","73947.0","pt|pt","125.9","new_territories_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_002322","1","3","7","80547.0","pt|pt|taxi","137.1","new_territories_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_002334","0","2","5","74813.0","pt|pt","78.7","new_territories_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_002334","1","3","7","82613.0","pt|pt|taxi","61.6","new_territories_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_002337","0","2","5","58104.0","pt|pt","127.7","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_002337","1","3","7","64704.0","pt|pt|taxi","113.7","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_002387","0","2","5","62236.0","pt|pt","113.7","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_002387","1","3","7","68836.0","pt|pt|taxi","98.3","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_002461","0","0","1","23081.0","","75.2","urban_taxi","v1_mode_detail_explicit_taxi","true","true",""
"hk_collective_002461","1","1","3","52870.0","taxi","77.3","urban_taxi","v1_mode_detail_explicit_taxi","true","true",""
"hk_collective_002470","0","2","5","65783.0","pt|pt","50.0","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_002470","1","3","7","72683.0","pt|pt|taxi","41.6","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_002473","0","0","1","30826.0","","81.5","urban_taxi","v1_mode_detail_explicit_taxi","true","true",""
"hk_collective_002473","1","1","3","62268.0","taxi","81.5","urban_taxi","v1_mode_detail_explicit_taxi","true","true",""
"hk_collective_002489","0","2","5","60479.0","pt|pt","43.7","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_002489","1","3","7","70079.0","pt|pt|taxi","71.0","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_002489","2","4","9","76979.0","pt|pt|taxi|taxi","73.1","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_002500","0","2","5","67556.0","pt|pt","68.9","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_002500","1","3","7","78956.0","pt|pt|taxi","33.2","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_002500","2","4","9","88556.0","pt|pt|taxi|taxi","79.4","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_002501","0","0","1","31752.0","","106.7","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_002501","1","1","3","41352.0","taxi","106.7","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_002501","2","2","5","48252.0","taxi|taxi","47.9","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_002505","0","0","1","49000.0","","50.0","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_002505","1","1","3","60400.0","taxi","54.2","urban_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_002593","0","0","1","42110.0","","110.9","urban_taxi","resident_discretionary_ride_assignment","true","true",""
