line_id,route_id,stop_count,route_link_count,route_length_m,service_length_m,old_terminal_offset_s,new_terminal_offset_s,old_commercial_speed_kmh,new_commercial_speed_kmh,offsets_strictly_increasing,index_warning_count
bus_line_900000055347,bus_route_900000055347,34,452,58171.068,58171.068,8652.0,8652.164,24.204,24.204,true,0
bus_line_900000055360,bus_route_900000055360,35,497,63690.923,63690.923,9781.0,9781.127,23.442,23.442,true,0
bus_line_900000061052,bus_route_900000061052,9,25,4933.982,4933.982,859.0,858.581,20.678,20.688,true,0
bus_line_900000061053,bus_route_900000061053,11,41,6625.501,6625.501,1097.0,1096.878,21.743,21.745,true,0
bus_line_900000062588,bus_route_900000062588,33,332,44721.352,44721.352,6829.0,6829.194,23.575,23.575,true,0
bus_line_900000062593,bus_route_900000062593,35,545,83766.609,83766.609,12098.0,12098.076,24.926,24.926,true,0
bus_line_900000071085,bus_route_900000071085,3,22,1666.862,1666.862,294.0,294.293,20.411,20.39,true,0
bus_line_900000071088,bus_route_900000071088,2,18,2923.32,2923.32,437.0,437.242,24.082,24.069,true,0
bus_line_900000071089,bus_route_900000071089,2,30,4795.136,4795.136,652.0,652.014,26.476,26.476,true,0
bus_line_900000071234,bus_route_900000071234,17,103,12331.357,12331.357,2068.0,2068.101,21.467,21.466,true,0
bus_line_900000071235,bus_route_900000071235,15,132,16943.151,16943.151,2615.0,2615.016,23.325,23.325,true,0
bus_line_900000074912,bus_route_900000074912,3,102,19653.717,19653.717,2516.0,2516.343,28.121,28.118,true,0
bus_line_900000074913,bus_route_900000074913,3,109,20382.13,20382.13,2609.0,2609.217,28.124,28.122,true,0
bus_line_900000076998,bus_route_900000076998,17,185,25789.879,25789.879,4045.0,4044.578,22.953,22.955,true,0
bus_line_900000076999,bus_route_900000076999,16,192,26335.59,26335.59,4107.0,4106.52,23.085,23.087,true,0
bus_line_900000077426,bus_route_900000077426,23,109,12356.348,12356.348,2051.0,2050.987,21.688,21.689,true,0
bus_line_900000077427,bus_route_900000077427,21,85,10715.281,10715.281,1787.0,1787.459,21.586,21.581,true,0
bus_line_900000077842,bus_route_900000077842,28,337,41179.369,41179.369,5957.0,5957.22,24.886,24.885,true,0
bus_line_900000077843,bus_route_900000077843,28,381,45850.558,45850.558,6653.0,6653.335,24.81,24.809,true,0
bus_line_900000079599,bus_route_900000079599,36,288,39170.116,39170.116,6195.0,6194.801,22.762,22.763,true,0
bus_line_900000079724,bus_route_900000079724,26,256,38057.099,38057.099,6523.0,6523.226,21.003,21.003,true,0
bus_line_900000079725,bus_route_900000079725,26,312,55188.288,55188.288,8883.0,8882.538,22.366,22.367,true,0
bus_line_900000079728,bus_route_900000079728,26,282,38285.527,38285.527,6416.0,6415.593,21.482,21.483,true,0
bus_line_900000079729,bus_route_900000079729,26,262,45178.505,45178.505,7330.0,7329.881,22.189,22.189,true,0
bus_line_900000080066,bus_route_900000080066,19,123,22036.067,22036.067,3753.0,3752.577,21.138,21.14,true,0
bus_line_900000080067,bus_route_900000080067,20,207,32217.936,32217.936,5037.0,5037.456,23.027,23.024,true,0
bus_line_900000080691,bus_route_900000080691,8,1479,304066.494,304066.494,39263.0,39262.86,27.88,27.88,true,0
bus_line_900000080692,bus_route_900000080692,5,1177,213500.824,213500.824,27572.0,27571.82,27.876,27.876,true,0
bus_line_900000080693,bus_route_900000080693,5,1056,193999.954,193999.954,25066.0,25066.408,27.862,27.862,true,0
bus_line_900000080723,bus_route_900000080723,6,1463,288831.014,288831.014,37373.0,37372.575,27.822,27.822,true,0
bus_line_900000081248,bus_route_900000081248,25,491,71891.48,71891.48,10019.0,10018.813,25.832,25.832,true,0
bus_line_900000081249,bus_route_900000081249,27,424,64783.821,64783.821,9190.0,9189.677,25.378,25.379,true,0
bus_line_900000081546,bus_route_900000081546,2,156,25800.441,25800.441,3523.0,3522.7,26.364,26.367,true,0
bus_line_900000081547,bus_route_900000081547,2,78,9909.308,9909.308,1375.0,1374.686,25.944,25.95,true,0
bus_line_900000082325,bus_route_900000082325,11,128,18644.491,18644.491,2863.0,2863.454,23.444,23.44,true,0
bus_line_900000082326,bus_route_900000082326,11,124,19725.592,19725.592,2983.0,2983.239,23.806,23.804,true,0
bus_line_900000082435,bus_route_900000082435,17,104,11011.132,11011.132,1823.0,1823.377,21.744,21.74,true,0
bus_line_900000082436,bus_route_900000082436,14,58,7750.001,7750.001,1320.0,1319.897,21.136,21.138,true,0
bus_line_900000083059,bus_route_900000083059,24,255,27920.586,27920.586,4215.0,4214.542,23.847,23.849,true,0
bus_line_900000083060,bus_route_900000083060,26,229,31909.343,31909.343,4807.0,4807.298,23.897,23.896,true,0
bus_line_900000088182,bus_route_900000088182,14,114,16719.296,16719.296,2323.0,2322.901,25.91,25.911,true,0
bus_line_900000088183,bus_route_900000088183,15,114,17096.866,17096.866,2416.0,2415.941,25.475,25.476,true,0
bus_line_900000088960,bus_route_900000088960,12,35,5367.716,5367.716,955.0,954.684,20.234,20.241,true,0
bus_line_900000088961,bus_route_900000088961,12,120,18407.824,18407.824,2758.0,2757.849,24.028,24.029,true,0
bus_line_900000094001,bus_route_900000094001,21,105,17282.27,17282.27,2712.0,2711.705,22.941,22.944,true,0
bus_line_900000094002,bus_route_900000094002,19,111,18518.666,18518.666,2864.0,2864.206,23.278,23.276,true,0
bus_line_900000094157,bus_route_900000094157,24,379,44411.306,44411.306,6557.0,6557.374,24.383,24.382,true,0
bus_line_900000094158,bus_route_900000094158,20,367,42845.691,42845.691,6247.0,6247.074,24.691,24.691,true,0
bus_line_900000096029,bus_route_900000096029,32,264,37684.247,37684.247,5633.0,5633.345,24.084,24.082,true,0
bus_line_900000096030,bus_route_900000096030,33,295,34171.326,34171.326,5291.0,5291.113,23.25,23.25,true,0
bus_line_900000097079,bus_route_900000097079,10,103,12845.982,12845.982,1880.0,1879.614,24.599,24.604,true,0
bus_line_900000097080,bus_route_900000097080,9,85,12055.927,12055.927,1728.0,1728.034,25.117,25.116,true,0
bus_line_900000097471,bus_route_900000097471,4,55,10251.574,10251.574,1414.0,1414.35,26.1,26.094,true,0
bus_line_900000097472,bus_route_900000097472,4,60,10260.333,10260.333,1415.0,1414.503,26.104,26.113,true,0
bus_line_900000097540,bus_route_900000097540,18,195,22785.916,22785.916,3533.0,3532.541,23.218,23.221,true,0
bus_line_900000097541,bus_route_900000097541,17,241,27889.168,27889.168,4209.0,4209.076,23.854,23.853,true,0
bus_line_900000098953,bus_route_900000098953,5,98,15008.946,15008.946,1976.0,1975.504,27.344,27.351,true,0
bus_line_900000098954,bus_route_900000098954,5,1409,293026.903,293026.903,37782.0,37782.355,27.921,27.92,true,0
