line_id,route_id,stop_count,route_link_count,route_length_m,service_length_m,old_terminal_offset_s,new_terminal_offset_s,old_commercial_speed_kmh,new_commercial_speed_kmh,offsets_strictly_increasing,index_warning_count
bus_line_350100010253,bus_route_350100010253,25,437,54446.781,45009.433,2275.0,6421.522,71.224,25.233,true,0
bus_line_350100010254,bus_route_350100010254,30,231,32610.391,32490.879,1726.0,5032.012,67.768,23.245,true,0
bus_line_350100010255,bus_route_350100010255,24,512,81069.755,56793.332,2854.0,8135.328,71.638,25.132,true,0
bus_line_350100010256,bus_route_350100010256,31,149,23689.27,23689.27,1269.0,3835.871,67.204,22.233,true,0
bus_line_350100010258,bus_route_350100010258,18,91,9637.628,9637.628,588.0,1716.706,59.006,20.21,true,0
bus_line_350100010259,bus_route_350100010259,19,114,19444.264,19181.226,961.0,2854.218,71.855,24.193,true,0
bus_line_350100010262,bus_route_350100010262,27,328,35102.724,34061.624,1839.0,5180.702,66.679,23.669,true,0
bus_line_350100010264,bus_route_350100010264,23,338,55587.838,55587.838,2833.0,7965.839,70.638,25.122,true,0
bus_line_350100010265,bus_route_350100010265,27,349,52409.13,52308.548,3257.0,8071.434,57.817,23.331,true,0
bus_line_350100010266,bus_route_350100010266,29,425,63280.594,63280.594,3187.0,9043.532,71.481,25.19,true,0
bus_line_350100010267,bus_route_350100010267,26,414,58428.218,57225.783,2962.0,8222.853,69.552,25.054,true,0
bus_line_350100010270,bus_route_350100010270,28,365,32728.361,32728.361,1842.0,5058.086,63.964,23.294,true,0
bus_line_350100010271,bus_route_350100010271,26,316,34712.272,34712.272,1799.0,5160.887,69.463,24.214,true,0
bus_line_350100010272,bus_route_350100010272,25,186,21215.37,21215.37,1312.0,3613.449,58.213,21.136,true,0
bus_line_350100010273,bus_route_350100010273,25,203,22254.013,21322.114,1329.0,3635.616,57.757,21.113,true,0
bus_line_350100010274,bus_route_350100010274,18,246,32226.367,31717.732,1873.0,4853.991,60.963,23.524,true,0
bus_line_350100010275,bus_route_350100010275,19,253,27694.051,27694.051,1678.0,4348.387,59.415,22.928,true,0
bus_line_350100010278,bus_route_350100010278,33,444,55922.529,55110.944,2832.0,8061.764,70.056,24.61,true,0
bus_line_350100010279,bus_route_350100010279,30,547,60357.358,59833.622,3290.0,8796.801,65.471,24.486,true,0
bus_line_350100010280,bus_route_350100010280,23,281,48272.63,48272.63,2802.0,7259.633,62.021,23.938,true,0
bus_line_350100010286,bus_route_350100010286,25,176,26085.352,26085.352,1409.0,4070.093,66.648,23.073,true,0
bus_line_350100010287,bus_route_350100010287,31,179,26688.418,26476.953,1501.0,4354.421,63.502,21.89,true,0
bus_line_350100010288,bus_route_350100010288,24,253,28824.508,28638.537,1529.0,4383.436,67.429,23.52,true,0
bus_line_350100010289,bus_route_350100010289,26,202,20517.761,20495.121,1160.0,3411.739,63.606,21.626,true,0
bus_line_350100010291,bus_route_350100010291,22,394,43357.802,43357.802,2571.0,6654.306,60.711,23.457,true,0
bus_line_350100010292,bus_route_350100010292,22,420,52125.63,52125.63,2910.0,7596.145,64.485,24.704,true,0
bus_line_350100010293,bus_route_350100010293,13,64,9783.762,9164.036,543.0,1480.432,60.756,22.284,true,0
bus_line_350100010294,bus_route_350100010294,14,70,10503.377,9955.595,520.0,1609.763,68.923,22.264,true,0
bus_line_350100010295,bus_route_350100010295,33,537,79453.073,79453.073,4294.0,11449.911,66.612,24.981,true,0
bus_line_350100010296,bus_route_350100010296,33,761,121306.318,121306.318,5934.0,16586.688,73.593,26.329,true,0
bus_line_350100010297,bus_route_350100010297,11,374,95640.328,58639.185,4704.0,7821.565,44.877,26.99,true,0
bus_line_350100010298,bus_route_350100010298,12,430,82828.589,25973.239,1571.0,3956.909,59.519,23.63,true,0
bus_line_350100010299,bus_route_350100010299,27,372,49560.682,49560.682,2653.0,7213.94,67.252,24.732,true,0
bus_line_350100010302,bus_route_350100010302,29,257,35121.316,35121.316,1816.0,5309.803,69.624,23.812,true,0
bus_line_350100010303,bus_route_350100010303,23,199,27076.186,27076.186,1495.0,4171.952,65.2,23.364,true,0
bus_line_350100010304,bus_route_350100010304,30,467,53407.358,53407.358,2933.0,7866.744,65.553,24.44,true,0
bus_line_350100010305,bus_route_350100010305,30,520,66541.055,63448.524,3597.0,9188.851,63.501,24.858,true,0
bus_line_350100010308,bus_route_350100010308,17,129,12504.151,12483.038,734.0,2123.349,61.225,21.164,true,0
bus_line_350100010309,bus_route_350100010309,16,146,12885.788,12885.788,762.0,2179.068,60.878,21.288,true,0
bus_line_350100010310,bus_route_350100010310,30,495,53428.086,53428.086,2820.0,7786.752,68.206,24.701,true,0
bus_line_350100010311,bus_route_350100010311,39,460,56678.701,56568.305,3094.0,8573.416,65.82,23.753,true,0
bus_line_350100010312,bus_route_350100010312,44,232,29038.805,29038.805,1639.0,4913.841,63.783,21.275,true,0
bus_line_350100010313,bus_route_350100010313,41,204,23789.545,23789.545,1202.0,3990.794,71.25,21.46,true,0
bus_line_350100010314,bus_route_350100010314,23,346,46796.359,46796.359,2507.0,6838.032,67.199,24.637,true,0
bus_line_350100010315,bus_route_350100010315,22,296,38151.096,38036.884,2221.0,5838.606,61.654,23.453,true,0
bus_line_350100010316,bus_route_350100010316,28,266,28739.596,28739.596,1492.0,4437.784,69.345,23.314,true,0
bus_line_350100010317,bus_route_350100010317,30,276,27346.321,27346.321,1467.0,4327.687,67.108,22.748,true,0
bus_line_350100010318,bus_route_350100010318,34,295,43798.293,43687.897,2181.0,6396.498,72.112,24.588,true,0
