poi_id,name,normalized_name,type,typecode,address,pname,cityname,adname,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,x_epsg32650,y_epsg32650,inside_boundary,inside_boundary_500m_buffer,source_tile_ids,source_pages,duplicate_count,stop_cluster_id,saturation_warning,inside_boundary_2km_buffer,distance_to_boundary_m
BV10210882,金泉路(公交站),金泉路,交通设施服务;公交车站;公交车站相关,150700,177路,福建省,福州市,鼓楼区,119.312253,26.092527,119.3074247,26.09561436,730772.9414,2888317.342,TRUE,TRUE,L0_007_005,1,1,金泉路_01057,FALSE,TRUE,3141.045381
BV10328973,师大(公交站),师大,交通设施服务;公交车站;公交车站相关,150700,106路(敬老线路);113路;167路;194路;20路;307路;319路;50路;60路;66路;7686烟台山公园专线;87路;地铁接驳15号专线;通勤快线23,福建省,福州市,仓山区,119.311168,26.037641,119.3063459,26.04069362,730772.7043,2882230.202,TRUE,TRUE,L0_007_003,2,1,师大_01058,FALSE,TRUE,5070.590173
BV10330898,港头(公交站),港头,交通设施服务;公交车站;公交车站相关,150700,永泰旅游专线(新国线),福建省,福州市,仓山区,119.283539,26.039587,119.2787598,26.04268336,728007.6891,2882402.133,TRUE,TRUE,L0_006_003,1,1,港头_01059,FALSE,TRUE,3643.510266
BV10330912,沿山市场(公交站),沿山市场,交通设施服务;公交车站;公交车站相关,150700,116路;137路;139快线;139路快线;140路;178路;180路;180路区间;201路;215路快线;216路快线;37路;529路;532路;58路;73路;M1路;M3路;M5路;东部29号线(马尾专线);高峰快线1路;高峰快线6路,福建省,福州市,马尾区,119.457221,25.992034,119.4523759,25.99499803,745484.9313,2877433.46,TRUE,TRUE,L0_012_001;L0_013_001,1,2,沿山市场_01060,FALSE,TRUE,1170.975435
BV10330941,梁厝(公交站),梁厝,交通设施服务;公交车站;公交车站相关,150700,101路;113路;303路;320路;322路;53路(敬老线路);66路;东部31号线(保福专线),福建省,福州市,鼓楼区,119.256594,26.087851,119.2518305,26.0909997,725219.8388,2887708.656,TRUE,TRUE,L0_005_005,1,1,梁厝_01061,FALSE,TRUE,2366.785796
BV10331003,白湖村委(公交站),白湖村委,交通设施服务;公交车站;公交车站相关,150700,167路;210路,福建省,福州市,仓山区,119.33482,26.020592,119.3299539,26.02358853,733169.5701,2880376.938,TRUE,TRUE,L0_008_002,1,1,白湖村委_01062,FALSE,TRUE,2805.257837
BV10331004,福建医大(公交站),福建医大,交通设施服务;公交车站;公交车站相关,150700,109路(敬老线路);133路;316路;336路;92路,福建省,福州市,台江区,119.299443,26.066753,119.2946391,26.06984524,729544.0878,2885439.519,TRUE,TRUE,L0_007_004,2,1,福建医大_01063,FALSE,TRUE,6019.391671
BV10331006,五孔闸(公交站),五孔闸,交通设施服务;公交车站;公交车站相关,150700,112路;137路;179路;37路;56路;58路;59路,福建省,福州市,台江区,119.366486,26.040024,119.3615662,26.04298047,736295.3655,2882582.491,TRUE,TRUE,L0_009_003,1,1,五孔闸_01064,FALSE,TRUE,48.5971359
BV10331009,于山(协和医院)(公交站),于山(协和医院),交通设施服务;公交车站;公交车站相关,150700,133路,福建省,福州市,鼓楼区,119.305547,26.076207,119.3007321,26.07929541,730135.3081,2886497.349,TRUE,TRUE,L0_007_004,1,1,于山(协和医院)_01065,FALSE,TRUE,4832.530109
BV10338671,公交海峡国际会展中心东站(公交站),公交海峡国际会展中心东站,交通设施服务;公交车站;公交车站相关,150700,186路快线(敬老线路);188路(敬老线路);307路;353路,福建省,福州市,仓山区,119.369002,26.024533,119.3640803,26.02747569,736578.1444,2880869.079,FALSE,TRUE,L0_009_002,1,1,公交海峡国际会展中心东站_01066,FALSE,TRUE,109.6076207
BV10338672,跑马场(公交站),跑马场,交通设施服务;公交车站;公交车站相关,150700,113路;115路;124路;126路;157路;163路;188路(敬老线路);190路(敬老线路);197路;206路快线;215路快线;26路;357路;42路;47路;4路;83路;K1路;通勤快线23,福建省,福州市,仓山区,119.318689,26.035469,119.3138529,26.0385063,731528.4099,2882001.154,TRUE,TRUE,L0_007_002;L0_007_003,2;4,2,跑马场_01067,FALSE,TRUE,4319.150286
BV10388158,正大广场(五福天桥)(公交站),正大广场(五福天桥),交通设施服务;公交车站;公交车站相关,150700,301路,福建省,福州市,鼓楼区,119.311402,26.074503,119.3065767,26.07757996,730723.4872,2886317.62,TRUE,TRUE,L0_007_004,1,1,正大广场(五福天桥)_01069,FALSE,TRUE,4604.08125
BV10388519,华侨中学(红旗村)(公交站),华侨中学(红旗村),交通设施服务;公交车站;公交车站相关,150700,106路(敬老线路);113路;121路(敬老线路);124路;302路;307路;311路;320路;336路;4路;87路;92路;东部4号线,福建省,福州市,台江区,119.297903,26.057463,119.2931023,26.06055145,729408.4197,2884407.065,TRUE,TRUE,L0_007_003,3,1,华侨中学(红旗村)_01070,FALSE,TRUE,6062.229539
BV10388786,华泰电力(公交站),华泰电力,交通设施服务;公交车站;公交车站相关,150700,602路,福建省,福州市,闽侯县,119.183085,26.14366,119.1782341,26.14677318,717753.2985,2893762.818,TRUE,TRUE,L0_002_007,1,1,华泰电力_01071,FALSE,TRUE,924.651504
BV10388789,兴诚工艺(公交站),兴诚工艺,交通设施服务;公交车站;公交车站相关,150700,602路,福建省,福州市,闽侯县,119.181135,26.146087,119.1762799,26.14919811,717553.3832,2894028.214,TRUE,TRUE,L0_002_007,1,1,兴诚工艺_01072,FALSE,TRUE,820.8138418
BV10391424,宁化路(东)(公交站),宁化路(东),交通设施服务;公交车站;公交车站相关,150700,19路,福建省,福州市,台江区,119.296628,26.056992,119.2918293,26.06008212,729281.9424,2884352.823,TRUE,TRUE,L0_007_003,4,1,宁化路(东)_01073,FALSE,TRUE,5938.049346
BV10391434,东坑(公交站),东坑,交通设施服务;公交车站;公交车站相关,150700,76路,福建省,福州市,鼓楼区,119.273941,26.105562,119.2691668,26.10871229,726920.099,2889701.302,TRUE,TRUE,L0_006_005,2,1,东坑_01074,FALSE,TRUE,2059.603262
BV10391436,赤星村委(公交站),赤星村委,交通设施服务;公交车站;公交车站相关,150700,108路,福建省,福州市,晋安区,119.289291,26.13418,119.2844973,26.13733141,728397.9724,2892899.129,TRUE,TRUE,L0_006_006,1,1,赤星村委_01075,FALSE,TRUE,365.0977734
BV10391469,龙祥岛(公交站),龙祥岛,交通设施服务;公交车站;公交车站相关,150700,149路;186路快线(敬老线路);210路,福建省,福州市,闽侯县,119.347856,25.966454,119.3429701,25.96938967,734580.3055,2874394.974,FALSE,FALSE,L0_008_000;L0_009_000,1,2,龙祥岛_01076,FALSE,TRUE,1338.121524
BV10391487,小桥(公交站),小桥,交通设施服务;公交车站;公交车站相关,150700,185路快线;189路快线;33路;38路;538路;762路;766路,福建省,福州市,闽侯县,119.234424,26.107744,119.2296534,26.11090224,722963.2944,2889875.615,TRUE,TRUE,L0_004_005,1,1,小桥_01077,FALSE,TRUE,438.6581731
BV10391511,育达学校(公交站),育达学校,交通设施服务;公交车站;公交车站相关,150700,126路;18路;194路;45路;通勤快线13路,福建省,福州市,仓山区,119.295404,26.009601,119.2906108,26.01266089,729252.2469,2879096.454,TRUE,TRUE,L0_006_001;L0_007_001,1;2,2,育达学校_01078,FALSE,TRUE,2058.77795
