line_id,route_id,links_before,links_after,removed_prefix,removed_suffix,index_warnings
bus_line_900000028085,bus_route_900000028085,136,136,0,0,0
bus_line_900000028087,bus_route_900000028087,193,193,0,0,0
bus_line_900000028092,bus_route_900000028092,58,58,0,0,0
bus_line_900000029831,bus_route_900000029831,129,129,0,0,0
bus_line_900000029832,bus_route_900000029832,131,131,0,0,0
bus_line_900000030076,bus_route_900000030076,145,145,0,0,0
bus_line_900000030077,bus_route_900000030077,164,164,0,0,0
bus_line_900000030782,bus_route_900000030782,125,124,0,1,0
bus_line_900000030783,bus_route_900000030783,180,180,0,0,0
bus_line_900000034476,bus_route_900000034476,45,39,0,6,0
bus_line_900000035847,bus_route_900000035847,35,29,6,0,0
bus_line_900000037276,bus_route_900000037276,126,126,0,0,0
bus_line_900000037277,bus_route_900000037277,210,210,0,0,0
bus_line_900000042667,bus_route_900000042667,228,228,0,0,0
bus_line_900000042668,bus_route_900000042668,201,201,0,0,0
bus_line_900000042908,bus_route_900000042908,233,232,0,1,0
bus_line_900000042976,bus_route_900000042976,324,324,0,0,0
bus_line_900000043495,bus_route_900000043495,809,809,0,0,0
bus_line_900000045849,bus_route_900000045849,43,37,6,0,0
bus_line_900000045850,bus_route_900000045850,53,47,0,6,0
bus_line_900000046046,bus_route_900000046046,764,764,0,0,0
bus_line_900000046047,bus_route_900000046047,531,531,0,0,0
bus_line_900000046206,bus_route_900000046206,60,60,0,0,0
bus_line_900000048928,bus_route_900000048928,210,210,0,0,0
bus_line_900000048929,bus_route_900000048929,228,228,0,0,0
bus_line_900000049348,bus_route_900000049348,61,61,0,0,0
bus_line_900000049349,bus_route_900000049349,70,70,0,0,0
bus_line_900000049875,bus_route_900000049875,412,412,0,0,0
bus_line_900000049876,bus_route_900000049876,276,276,0,0,0
bus_line_900000055195,bus_route_900000055195,48,48,0,0,0
bus_line_900000055347,bus_route_900000055347,452,452,0,0,0
bus_line_900000055360,bus_route_900000055360,497,497,0,0,0
bus_line_900000061052,bus_route_900000061052,25,25,0,0,0
bus_line_900000061053,bus_route_900000061053,41,41,0,0,0
bus_line_900000062588,bus_route_900000062588,332,332,0,0,0
bus_line_900000062593,bus_route_900000062593,545,545,0,0,0
bus_line_900000071085,bus_route_900000071085,24,22,0,2,0
bus_line_900000071088,bus_route_900000071088,18,18,0,0,0
bus_line_900000071089,bus_route_900000071089,30,30,0,0,0
bus_line_900000071234,bus_route_900000071234,103,103,0,0,0
bus_line_900000071235,bus_route_900000071235,132,132,0,0,0
bus_line_900000074912,bus_route_900000074912,103,102,0,1,0
bus_line_900000074913,bus_route_900000074913,110,109,0,1,0
bus_line_900000076998,bus_route_900000076998,185,185,0,0,0
bus_line_900000076999,bus_route_900000076999,192,192,0,0,0
bus_line_900000077426,bus_route_900000077426,109,109,0,0,0
bus_line_900000077427,bus_route_900000077427,85,85,0,0,0
bus_line_900000077842,bus_route_900000077842,337,337,0,0,0
bus_line_900000077843,bus_route_900000077843,381,381,0,0,0
bus_line_900000079599,bus_route_900000079599,288,288,0,0,0
bus_line_900000079724,bus_route_900000079724,256,256,0,0,0
bus_line_900000079725,bus_route_900000079725,313,312,0,1,0
bus_line_900000079728,bus_route_900000079728,283,282,0,1,0
bus_line_900000079729,bus_route_900000079729,263,262,0,1,0
bus_line_900000080066,bus_route_900000080066,123,123,0,0,0
bus_line_900000080067,bus_route_900000080067,207,207,0,0,0
bus_line_900000080691,bus_route_900000080691,1479,1479,0,0,0
bus_line_900000080692,bus_route_900000080692,1177,1177,0,0,0
bus_line_900000080693,bus_route_900000080693,1056,1056,0,0,0
bus_line_900000080723,bus_route_900000080723,1463,1463,0,0,0
bus_line_900000081248,bus_route_900000081248,491,491,0,0,0
bus_line_900000081249,bus_route_900000081249,425,424,0,1,0
bus_line_900000081546,bus_route_900000081546,156,156,0,0,0
bus_line_900000081547,bus_route_900000081547,78,78,0,0,0
bus_line_900000082325,bus_route_900000082325,129,128,0,1,0
bus_line_900000082326,bus_route_900000082326,125,124,0,1,0
bus_line_900000082435,bus_route_900000082435,104,104,0,0,0
bus_line_900000082436,bus_route_900000082436,58,58,0,0,0
bus_line_900000083059,bus_route_900000083059,255,255,0,0,0
bus_line_900000083060,bus_route_900000083060,229,229,0,0,0
bus_line_900000088182,bus_route_900000088182,114,114,0,0,0
bus_line_900000088183,bus_route_900000088183,114,114,0,0,0
bus_line_900000088960,bus_route_900000088960,35,35,0,0,0
bus_line_900000088961,bus_route_900000088961,120,120,0,0,0
bus_line_900000094001,bus_route_900000094001,111,105,6,0,0
bus_line_900000094002,bus_route_900000094002,117,111,0,6,0
bus_line_900000094157,bus_route_900000094157,379,379,0,0,0
bus_line_900000094158,bus_route_900000094158,367,367,0,0,0
bus_line_900000096029,bus_route_900000096029,265,264,0,1,0
bus_line_900000096030,bus_route_900000096030,295,295,0,0,0
bus_line_900000097079,bus_route_900000097079,103,103,0,0,0
bus_line_900000097080,bus_route_900000097080,85,85,0,0,0
bus_line_900000097471,bus_route_900000097471,55,55,0,0,0
bus_line_900000097472,bus_route_900000097472,60,60,0,0,0
bus_line_900000097540,bus_route_900000097540,195,195,0,0,0
bus_line_900000097541,bus_route_900000097541,241,241,0,0,0
bus_line_900000098953,bus_route_900000098953,98,98,0,0,0
bus_line_900000098954,bus_route_900000098954,1409,1409,0,0,0
bus_line_900000099354,bus_route_900000099354,227,226,0,1,0
bus_line_900000099355,bus_route_900000099355,225,225,0,0,0
bus_line_900000100320,bus_route_900000100320,48,48,0,0,0
bus_line_900000100321,bus_route_900000100321,51,51,0,0,0
bus_line_900000103910,bus_route_900000103910,84,84,0,0,0
bus_line_900000103911,bus_route_900000103911,159,158,0,1,0
bus_line_900000104187,bus_route_900000104187,82,82,0,0,0
bus_line_900000104375,bus_route_900000104375,144,144,0,0,0
bus_line_900000106362,bus_route_900000106362,104,103,0,1,0
bus_line_900000106363,bus_route_900000106363,159,149,0,10,0
bus_line_900000107418,bus_route_900000107418,310,310,0,0,0
bus_line_900000107419,bus_route_900000107419,182,181,0,1,0
bus_line_900000112774,bus_route_900000112774,210,210,0,0,0
bus_line_900000112868,bus_route_900000112868,262,262,0,0,0
bus_line_900000114300,bus_route_900000114300,133,133,0,0,0
bus_line_900000114301,bus_route_900000114301,201,201,0,0,0
