scenario,activity_purpose,legs_5pct,expanded_legs,total_fare_hkd_5pct,expanded_total_fare_hkd,mean_hkd,median_hkd,p10_hkd,p25_hkd,p75_hkd,p90_hkd,p95_hkd,within_flagfall_share,tolled_tunnel_share,taxi_type_unresolved_share,route_distance_unavailable_share,congestion_proxy_unavailable_share
high,leisure,2788.0,55760.0,314830.7,6296614.0,112.92349354375897,106.7,35.3,61.6,144.5,204.7,249.36000000000004,0.06312769010043041,0.0,0.007890961262553802,0.0,1.0
high,leisure>dining,924.0,18480.0,107286.1,2145722.0,116.11049783549784,106.7,35.3,64.7,147.3,218.58,253.7,0.06168831168831169,0.0,0.045454545454545456,0.0,1.0
high,leisure>leisure,153.0,3060.0,17543.9,350878.0,114.66601307189543,106.7,42.82,66.8,150.1,206.66000000000005,236.62000000000003,0.0196078431372549,0.0,0.0392156862745098,0.0,1.0
high,leisure>medical,126.0,2520.0,14008.4,280168.0,111.17777777777778,110.9,32.150000000000006,66.925,143.45,178.8,227.0,0.07936507936507936,0.0,0.0,0.0,1.0
high,leisure>personal_business,222.0,4440.0,23714.0,474280.0,106.81981981981981,94.1,31.310000000000006,50.0,143.1,212.68,251.94999999999993,0.08108108108108109,0.0,0.02702702702702703,0.0,1.0
high,leisure>shopping,765.0,15300.0,86783.9,1735678.0,113.4430065359477,108.1,37.4,66.8,145.9,199.1,245.01999999999995,0.06143790849673202,0.0,0.03529411764705882,0.0,1.0
high,leisure>social,354.0,7080.0,40593.7,811874.0,114.67146892655366,109.3,35.93000000000001,66.8,138.9,198.67999999999998,246.7,0.07909604519774012,0.0,0.03389830508474576,0.0,1.0
high,medical,766.0,15320.0,85715.70000000001,1714314.0000000002,111.90039164490864,106.3,29.15,60.5,146.95000000000002,200.5,243.55,0.09530026109660575,0.0,0.007832898172323759,0.0,1.0
high,medical>dining,180.0,3600.0,19554.800000000003,391096.00000000006,108.6377777777778,103.2,30.890000000000004,58.4,138.2,196.4399999999999,245.36999999999998,0.09444444444444444,0.0,0.016666666666666666,0.0,1.0
high,medical>leisure,147.0,2940.0,16229.100000000002,324582.00000000006,110.40204081632655,108.1,31.1,60.5,138.7,189.86000000000004,237.1799999999999,0.09523809523809523,0.0,0.02040816326530612,0.0,1.0
high,medical>medical,36.0,720.0,3494.7,69894.0,97.07499999999999,103.55000000000001,48.95,70.475,120.0,142.4,151.5,0.027777777777777776,0.0,0.0,0.0,1.0
high,medical>personal_business,63.0,1260.0,7411.1,148222.0,117.63650793650794,112.3,40.76,72.05,146.60000000000002,197.14000000000001,215.06,0.047619047619047616,0.0,0.0,0.0,1.0
high,medical>shopping,240.0,4800.0,26501.3,530026.0,110.42208333333333,106.69999999999999,33.00000000000001,57.875,148.7,193.5,229.51999999999998,0.0875,0.0,0.0375,0.0,1.0
high,medical>social,126.0,2520.0,14072.900000000001,281458.0,111.68968253968255,108.8,31.1,61.025,148.05,202.60000000000002,215.9,0.0873015873015873,0.0,0.023809523809523808,0.0,1.0
high,personal_business,1082.0,21640.0,119370.20000000001,2387404.0,110.32365988909429,108.1,33.2,61.85,141.35,187.9,239.49000000000018,0.06284658040665435,0.0,0.012939001848428836,0.0,1.0
high,personal_business>dining,261.0,5220.0,26828.300000000003,536566.0,102.79042145593871,98.3,29.0,52.1,130.5,175.3,213.1,0.11494252873563218,0.0,0.011494252873563218,0.0,1.0
high,personal_business>leisure,174.0,3480.0,21646.200000000004,432924.0000000001,124.40344827586209,110.7,37.4,75.2,157.1,237.06000000000014,281.28,0.05747126436781609,0.0,0.034482758620689655,0.0,1.0
high,personal_business>medical,63.0,1260.0,6624.999999999999,132499.99999999997,105.15873015873015,111.9,34.040000000000006,58.400000000000006,130.5,189.3,198.82,0.06349206349206349,0.0,0.0,0.0,1.0
high,personal_business>personal_business,15.0,300.0,2427.9,48558.0,161.86,175.3,86.96,103.19999999999999,218.7,255.94,259.72,0.0,0.0,0.0,0.0,1.0
high,personal_business>shopping,312.0,6240.0,36393.5,727870.0,116.64583333333333,111.6,33.410000000000004,62.075,147.3,201.48000000000016,272.53,0.07051282051282051,0.0,0.019230769230769232,0.0,1.0
high,personal_business>social,111.0,2220.0,12697.4,253948.0,114.39099099099099,110.9,37.4,58.4,143.8,213.1,246.7,0.06306306306306306,0.0,0.02702702702702703,0.0,1.0
high,school_kindergarten,176.0,3520.0,8579.8,171596.0,48.74886363636363,35.3,25.5,29.0,58.4,89.0,105.0,0.3522727272727273,0.0,0.0,0.0,1.0
high,school_primary,362.0,7240.0,19794.699999999997,395893.99999999994,54.68149171270717,38.8,25.5,29.0,71.0,107.82000000000009,131.82999999999998,0.2983425414364641,0.0,0.022099447513812154,0.0,1.0
high,school_secondary,382.0,7640.0,37969.0,759380.0,99.39528795811518,78.94999999999999,29.0,39.5,131.9,203.16000000000005,259.15999999999997,0.13612565445026178,0.0,0.015706806282722512,0.0,1.0
high,school_special,4.0,80.0,200.0,4000.0,50.0,48.95,29.0,29.0,69.95,71.84,72.47,0.5,0.0,0.0,0.0,1.0
high,shopping,3908.0,78160.0,417468.9,8349378.0,106.82418116683726,102.5,29.3,58.4,137.5,185.1,235.5,0.09467758444216991,0.0,0.009211873080859774,0.0,1.0
high,shopping>dining,1380.0,27600.0,154516.40000000002,3090328.0000000005,111.96840579710147,105.3,31.1,64.7,139.25,197.7,250.9,0.0891304347826087,0.0,0.02608695652173913,0.0,1.0
high,shopping>leisure,873.0,17460.0,97528.7,1950574.0,111.71672394043527,109.5,35.720000000000006,64.7,141.7,190.7,232.45999999999998,0.06872852233676977,0.0,0.013745704467353952,0.0,1.0
high,shopping>medical,279.0,5580.0,28783.800000000003,575676.0,103.16774193548387,100.4,31.1,57.349999999999994,130.5,173.6200000000001,211.79999999999995,0.0931899641577061,0.0,0.021505376344086023,0.0,1.0
high,shopping>personal_business,411.0,8220.0,45320.3,906406.0,110.2683698296837,105.3,33.2,62.6,144.5,186.5,228.5,0.0827250608272506,0.0,0.029197080291970802,0.0,1.0
high,shopping>shopping,330.0,6600.0,38761.9,775238.0,117.46030303030304,106.5,31.1,66.8,150.1,219.1200000000001,268.75000000000006,0.09393939393939393,0.0,0.03636363636363636,0.0,1.0
high,shopping>social,582.0,11640.0,61335.9,1226718.0,105.3881443298969,96.2,31.1,54.2,138.55,198.95999999999995,242.4299999999999,0.09965635738831616,0.0,0.020618556701030927,0.0,1.0
