scenario,origin_tcs_zone,destination_tcs_zone,legs_5pct,expanded_legs,total_fare_hkd_5pct,expanded_total_fare_hkd,mean_hkd,median_hkd,p10_hkd,p25_hkd,p75_hkd,p90_hkd,p95_hkd,within_flagfall_share,tolled_tunnel_share,taxi_type_unresolved_share,route_distance_unavailable_share,congestion_proxy_unavailable_share
low,-1,26,4.0,80.0,759.3,15186.0,189.825,223.6,81.71000000000001,160.77499999999998,252.65,270.92,277.01,0.25,0.0,1.0,0.0,1.0
low,1,-1,2.0,40.0,205.7,4114.0,102.85,102.85,53.85,72.225,133.475,151.85,157.975,0.0,0.0,1.0,0.0,1.0
low,1,1,319.0,6380.0,12572.5,251450.0,39.412225705329156,31.1,29.0,29.0,45.8,56.71999999999997,67.00999999999992,0.4263322884012539,0.0,0.01567398119122257,0.0,1.0
low,1,2,209.0,4180.0,12581.5,251630.0,60.198564593301434,58.4,29.0,39.5,77.3,92.0,97.46,0.18181818181818182,0.0,0.004784688995215311,0.0,1.0
low,1,3,163.0,3260.0,19004.199999999997,380083.99999999994,116.59018404907974,119.3,83.6,99.35,136.1,148.42000000000002,155.56,0.0,0.0,0.0,0.0,1.0
low,1,4,140.0,2800.0,15149.400000000001,302988.0,108.21000000000001,105.3,73.1,85.7,126.65,157.1,178.1,0.0,0.0,0.0,0.0,1.0
low,1,5,310.0,6200.0,24155.5,483110.0,77.92096774193548,77.3,68.9,73.1,79.4,89.9,92.0,0.0,0.0,0.06774193548387097,0.0,1.0
low,1,6,87.0,1740.0,7603.599999999999,152072.0,87.39770114942529,85.7,75.2,79.4,92.0,98.3,105.3,0.0,0.0,0.0,0.0,1.0
low,1,7,159.0,3180.0,15617.800000000001,312356.0,98.2251572327044,96.2,85.7,92.0,103.9,110.06000000000004,117.9,0.0,0.0,0.031446540880503145,0.0,1.0
low,1,8,120.0,2400.0,12331.5,246630.0,102.7625,98.3,83.6,92.0,112.3,122.38000000000002,133.51,0.0,0.0,0.0,0.0,1.0
low,1,9,79.0,1580.0,10575.5,211510.0,133.86708860759492,133.3,119.3,126.3,140.3,148.7,151.92,0.0,0.0,0.0,0.0,1.0
low,1,10,52.0,1040.0,6385.6,127712.0,122.80000000000001,121.4,106.84,114.75,127.7,137.35999999999999,147.79,0.0,0.0,0.0,0.0,1.0
low,1,11,50.0,1000.0,7751.400000000001,155028.0,155.02800000000002,148.7,140.16000000000003,143.1,153.95000000000002,188.04000000000002,200.14999999999998,0.0,0.0,0.0,0.0,1.0
