edge_id,from_lat_wgs84,from_lon_wgs84,from_sequence,from_station_id,from_station_name,line_id,line_name,to_lat_wgs84,to_lon_wgs84,to_sequence,to_station_id,to_station_name
350100010586_023_024,26.16695230864654,119.0425060871506,23,BV10922421,元格村口,350100010586,707路(闽侯客运中心--鸿尾客运站),26.178130246844532,119.01409761929798,24,BV10922517,格里口
350100010586_024_025,26.178130246844532,119.01409761929798,24,BV10922517,格里口,350100010586,707路(闽侯客运中心--鸿尾客运站),26.17815335329886,119.00827508702028,25,BV10734399,114县道口
350100010586_025_026,26.17815335329886,119.00827508702028,25,BV10734399,114县道口,350100010586,707路(闽侯客运中心--鸿尾客运站),26.17644291002674,119.00506215062744,26,BV10734391,避洪沟
350100010586_026_027,26.17644291002674,119.00506215062744,26,BV10734391,避洪沟,350100010586,707路(闽侯客运中心--鸿尾客运站),26.169775968809226,119.00202707064805,27,BV09022102,鸿尾卫生院
350100010586_027_028,26.169775968809226,119.00202707064805,27,BV09022102,鸿尾卫生院,350100010586,707路(闽侯客运中心--鸿尾客运站),26.167000761063086,118.99955082575948,28,BV09022101,鸿尾市民公园
350100010586_028_029,26.167000761063086,118.99955082575948,28,BV09022101,鸿尾市民公园,350100010586,707路(闽侯客运中心--鸿尾客运站),26.1652322004082,118.99674367831717,29,BV10734392,鸿尾客运站
350100010587_001_002,26.16492118615722,118.99701376549866,1,BV10734392,鸿尾客运站,350100010587,707路(鸿尾客运站--闽侯客运中心),26.16669568906584,118.99918312037136,2,BV09022101,鸿尾市民公园
350100010587_002_003,26.16669568906584,118.99918312037136,2,BV09022101,鸿尾市民公园,350100010587,707路(鸿尾客运站--闽侯客运中心),26.169684786069265,119.00206893330379,3,BV09022102,鸿尾卫生院
350100010587_003_004,26.169684786069265,119.00206893330379,3,BV09022102,鸿尾卫生院,350100010587,707路(鸿尾客运站--闽侯客运中心),26.176323825239507,119.00473328486117,4,BV10734391,避洪沟
350100010587_004_005,26.176323825239507,119.00473328486117,4,BV10734391,避洪沟,350100010587,707路(鸿尾客运站--闽侯客运中心),26.178307476356444,119.00860196956484,5,BV10734399,114县道口
350100010587_005_006,26.178307476356444,119.00860196956484,5,BV10734399,114县道口,350100010587,707路(鸿尾客运站--闽侯客运中心),26.178129257781592,119.0140936325189,6,BV10922517,格里口
350100010587_006_007,26.178129257781592,119.0140936325189,6,BV10922517,格里口,350100010587,707路(鸿尾客运站--闽侯客运中心),26.166429872296572,119.04028171720083,7,BV10922421,元格村口
350100010587_007_008,26.166429872296572,119.04028171720083,7,BV10922421,元格村口,350100010587,707路(鸿尾客运站--闽侯客运中心),26.168712563680078,119.0457581308069,8,BV10922417,世纪加油站
350100010587_008_009,26.168712563680078,119.0457581308069,8,BV10922417,世纪加油站,350100010587,707路(鸿尾客运站--闽侯客运中心),26.169755586332712,119.05462997086097,9,BV10922415,祥和加油站
350100010587_009_010,26.169755586332712,119.05462997086097,9,BV10922415,祥和加油站,350100010587,707路(鸿尾客运站--闽侯客运中心),26.162520826328013,119.06338618426123,10,BV10391496,文山下
350100010587_010_011,26.162520826328013,119.06338618426123,10,BV10391496,文山下,350100010587,707路(鸿尾客运站--闽侯客运中心),26.162682112600702,119.06639774383751,11,BV10922419,园厝前
350100010587_011_012,26.162682112600702,119.06639774383751,11,BV10922419,园厝前,350100010587,707路(鸿尾客运站--闽侯客运中心),26.162855820998676,119.08032712389351,12,BV10563785,金岸蓝湖
350100010587_012_013,26.162855820998676,119.08032712389351,12,BV10563785,金岸蓝湖,350100010587,707路(鸿尾客运站--闽侯客运中心),26.160307815857074,119.08562733601838,13,BV10563782,张厝
350100010587_013_014,26.160307815857074,119.08562733601838,13,BV10563782,张厝,350100010587,707路(鸿尾客运站--闽侯客运中心),26.156496292783547,119.09079408270917,14,BV10209551,竹西村
350100010587_014_015,26.156496292783547,119.09079408270917,14,BV10209551,竹西村,350100010587,707路(鸿尾客运站--闽侯客运中心),26.147926479155124,119.10208493283479,15,BV10563789,竹岐小学
350100010587_015_016,26.147926479155124,119.10208493283479,15,BV10563789,竹岐小学,350100010587,707路(鸿尾客运站--闽侯客运中心),26.145286709578244,119.10618406165442,16,BV10563776,竹岐村
350100010587_016_017,26.145286709578244,119.10618406165442,16,BV10563776,竹岐村,350100010587,707路(鸿尾客运站--闽侯客运中心),26.15496903088673,119.11810911040452,17,BV10460604,闽侯大桥北桥头
350100010587_017_018,26.15496903088673,119.11810911040452,17,BV10460604,闽侯大桥北桥头,350100010587,707路(鸿尾客运站--闽侯客运中心),26.152895125413632,119.12563034571585,18,BV11608622,县法院
350100010587_018_019,26.152895125413632,119.12563034571585,18,BV11608622,县法院,350100010587,707路(鸿尾客运站--闽侯客运中心),26.15025251165062,119.12953403904707,19,BV11615211,长江村委
350100010587_019_020,26.15025251165062,119.12953403904707,19,BV11615211,长江村委,350100010587,707路(鸿尾客运站--闽侯客运中心),26.147622495719165,119.13355539901364,20,BV10490318,县交警大队
350100010587_020_021,26.147622495719165,119.13355539901364,20,BV10490318,县交警大队,350100010587,707路(鸿尾客运站--闽侯客运中心),26.147100263310513,119.13564682842744,21,BV11374491,县实验中学
350100010587_021_022,26.147100263310513,119.13564682842744,21,BV11374491,县实验中学,350100010587,707路(鸿尾客运站--闽侯客运中心),26.14582163347233,119.14025279834497,22,BV10490320,县卫生局
350100010587_022_023,26.14582163347233,119.14025279834497,22,BV10490320,县卫生局,350100010587,707路(鸿尾客运站--闽侯客运中心),26.144671663180283,119.14611661888623,23,BV10209473,新永辉超市
350100010587_023_024,26.144671663180283,119.14611661888623,23,BV10209473,新永辉超市,350100010587,707路(鸿尾客运站--闽侯客运中心),26.14364423491578,119.14740414553562,24,BV11654900,省艺术学院
350100010587_024_025,26.14364423491578,119.14740414553562,24,BV11654900,省艺术学院,350100010587,707路(鸿尾客运站--闽侯客运中心),26.138840417852983,119.14696066292218,25,BV10740052,世茂上游墅
350100010587_025_026,26.138840417852983,119.14696066292218,25,BV10740052,世茂上游墅,350100010587,707路(鸿尾客运站--闽侯客运中心),26.13754702082816,119.1489255387694,26,BV10816817,滨江新城
350100010587_026_027,26.13754702082816,119.1489255387694,26,BV10816817,滨江新城,350100010587,707路(鸿尾客运站--闽侯客运中心),26.135674713412765,119.15167607384488,27,BV09268192,滨城民俗路口
350100010587_027_028,26.135674713412765,119.15167607384488,27,BV09268192,滨城民俗路口,350100010587,707路(鸿尾客运站--闽侯客运中心),26.13388946613771,119.15438061592413,28,BV10740056,西海岸
350100010587_028_029,26.13388946613771,119.15438061592413,28,BV10740056,西海岸,350100010587,707路(鸿尾客运站--闽侯客运中心),26.131631415150384,119.15677564726401,29,BV11641756,闽侯客运中心
350100010598_001_002,26.05705952575231,119.28464415574602,1,BV11280168,尤溪洲(西)公交站,350100010598,149路(尤溪洲(西)公交站--海峡汽车文化广场),26.05204992375912,119.289713194987,2,BV10208640,长寿社
350100010598_002_003,26.05204992375912,119.289713194987,2,BV10208640,长寿社,350100010598,149路(尤溪洲(西)公交站--海峡汽车文化广场),26.050132431477405,119.29311204843681,3,BV10208639,帮洲
