"YR_MTH","MODE","TTD_PTO_CODE","RAIL_LINE","AVG_DAILY_PAX","AVG_DAILY_PAX_INDI"
"201410","Fran_Bus","KMB","",2486.63367741935,""
"201410","Fran_Bus","CTB","",571.979516129032,""
"201410","Fran_Bus","NWFB","",396.221,""
"201410","Fran_Bus","LWB","",97.9830322580645,""
"201410","Railways","MTRC","Local",4998.94741935484,""
"201411","Railways","HKT","",155.2246,""
"201411","Railways","MTRC","Airport",42.3478,""
"201411","Railways","MTRC","LRT",495.2434,""
"201411","LRB","LRB","",146.787333333333,""
"201411","RS","RS","",240.8189,""
"201411","TAX","TAX","",942.710633333333,""
"201411","Ferries","LFS","",39.152,""
"201411","Ferries","STF","",56.851,""
"201411","Ferries","NWFF","",41.0436666666667,""
"201411","PLB","RMB","",352.060433333333,""
"201411","PLB","GMB","",1543.77833333333,""
"201411","Railways","MTRC","Local",4933.58676666667,""
"201411","Fran_Bus","NLB","",70.6822,""
"201411","Fran_Bus","LWB","",98.4178666666667,""
"201411","Fran_Bus","NWFB","",451.363133333333,""
"201411","Fran_Bus","CTB","",623.1168,""
"201411","Fran_Bus","KMB","",2602.34663333333,""
"201412","LRB","LRB","",142.065290322581,""
"201412","Railways","HKT","",173.195903225806,""
"201412","Fran_Bus","KMB","",2606.32267741935,""
"201412","Fran_Bus","CTB","",627.628516129032,""
"201412","Fran_Bus","NWFB","",464.545064516129,""
"201412","Fran_Bus","LWB","",97.1675483870968,""
"201412","Fran_Bus","NLB","",70.6370967741936,""
"201412","Railways","MTRC","Local",4785.39748387097,""
"201412","Railways","MTRC","Airport",44.5796774193548,""
"201412","TAX","TAX","",957.408322580645,""
"201412","Ferries","LFS","",36.4626129032258,""
"201412","Ferries","STF","",64.0751935483871,""
"201412","Ferries","NWFF","",38.0651935483871,""
"201412","PLB","RMB","",346.459322580645,""
"201412","PLB","GMB","",1493.48396774194,""
"201412","Railways","MTRC","LRT",474.977580645161,""
"201412","RS","RS","",234.844935483871,""
"201501","Railways","HKT","",183.617870967742,""
"201501","PLB","GMB","",1496.6895483871,""
"201501","PLB","RMB","",349.434870967742,""
"201501","Ferries","NWFF","",38.4664838709677,""
"201501","Ferries","STF","",59.0595161290323,""
"201501","Ferries","LFS","",37.226064516129,""
"201501","TAX","TAX","",947.434451548387,""
"201501","RS","RS","",239.362838709677,""
"201501","LRB","LRB","",142.523451612903,""
"201501","Fran_Bus","KMB","",2633.18258064516,""
"201501","Fran_Bus","CTB","",626.166548387097,""
"201501","Fran_Bus","NWFB","",463.794387096774,""
"201501","Fran_Bus","LWB","",96.693,""
"201501","Fran_Bus","NLB","",71.1711935483871,""
"201501","Railways","MTRC","Local",4715.61170967742,""
"201501","Railways","MTRC","Airport",40.9584193548387,""
"201501","Railways","MTRC","LRT",476.075,""
"201502","LRB","LRB","",133.960571428571,""
"201502","Fran_Bus","KMB","",2602.30478571429,""
"201502","Fran_Bus","CTB","",627.581535714286,""
"201502","Fran_Bus","NWFB","",462.637,""
"201502","Fran_Bus","LWB","",95.6189642857143,""
"201502","Fran_Bus","NLB","",73.74875,""
"201502","Railways","MTRC","Local",4687.71721428571,""
"201502","Railways","MTRC","Airport",39.3787142857143,""
"201502","Railways","MTRC","LRT",466.607464285714,""
"201502","Railways","HKT","",180.817928571429,""
"201502","PLB","GMB","",1459.17767857143,""
"201502","PLB","RMB","",334.601392857143,""
"201502","Ferries","NWFF","",41.7728571428571,""
"201502","Ferries","STF","",63.1083571428571,""
"201502","Ferries","LFS","",37.9185357142857,""
"201502","TAX","TAX","",976.074814428571,""
"201502","RS","RS","",232.051785714286,""
"201503","PLB","GMB","",1508.10203225806,""
"201503","PLB","RMB","",344.865451612903,""
"201503","Ferries","NWFF","",40.5290967741935,""
"201503","Ferries","STF","",51.253,""
"201503","Ferries","LFS","",37.5939677419355,""
"201503","TAX","TAX","",976.443213032258,""
"201503","RS","RS","",234.619129032258,""
"201503","LRB","LRB","",140.44364516129,""
"201503","Fran_Bus","KMB","",2669.19851612903,""
"201503","Fran_Bus","CTB","",632.881838709677,""
"201503","Fran_Bus","NWFB","",475.31035483871,""
"201503","Fran_Bus","LWB","",98.4831935483871,""
"201503","Fran_Bus","NLB","",71.7423870967742,""
"201503","Railways","MTRC","Local",4629.89351612903,""
"201503","Railways","MTRC","Airport",44.2199677419355,""
"201503","Railways","MTRC","LRT",476.838193548387,""
"201503","Railways","HKT","",183.713741935484,""
"201504","PLB","GMB","",1499.8575,""
"201504","PLB","RMB","",327.824033333333,""
"201504","Ferries","NWFF","",45.8237666666667,""
"201504","Ferries","STF","",54.6288333333333,""
"201504","Ferries","LFS","",40.8457666666667,""
"201504","TAX","TAX","",940.426596366667,""
"201504","RS","RS","",231.487566666667,""
"201504","LRB","LRB","",134.290133333333,""
"201504","Fran_Bus","KMB","",2589.4964,""
"201504","Fran_Bus","CTB","",615.868766666667,""
"201504","Fran_Bus","NWFB","",458.615633333333,""
"201504","Fran_Bus","LWB","",101.012733333333,""
"201504","Fran_Bus","NLB","",70.1818333333333,""
"201504","Railways","MTRC","Local",4464.5671,""
"201504","Railways","MTRC","Airport",44.9568,""
"201504","Railways","MTRC","LRT",462.866866666667,""
"201504","Railways","HKT","",173.1479,""
"201505","PLB","GMB","",1504.74603225806,""
"201505","PLB","RMB","",331.29935483871,""
"201505","Ferries","NWFF","",40.5397096774194,""
"201505","Ferries","STF","",48.8031935483871,""
