mode,stop_id,source_ids,name,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,x_epsg32650,y_epsg32650,line_ids,coord_source
bus,amap_stop_01785,BV11442097,福州综合保税区,119.520239,26.082799,119.51560980508556,26.08600255540969,751622.6945103074,2887638.1050526216,350100010055;350100010056;350100010308;350100010309;350100010688;350100010689;900000097540;900000097541;900000148759;900000148762;900000161723;900000161724,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01786,BV10208831,副食品基地,119.5176,26.077274,119.51296165893204,26.08046632590581,751369.5478697347,2887019.5147573208,350100010055;350100010056;350100010308;350100010309;350100010688;350100010689;900000097540;900000097541;900000148759;900000148762;900000161723;900000161724,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01787,BV10391483,东街,119.515434,26.073147,119.5107880459991,26.07633029627204,751160.8717951048,2886557.003909029,350100010055;350100010056;350100010308;350100010309;350100010688;350100010689;900000082325;900000082326;900000097540;900000097541;900000148759;900000148762;900000161723;900000161724,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01788,BV10753020,东街,118.936346,25.863302,118.93179070392144,25.866462415319354,693570.0330937472,2862319.54877782,900000186777;900000186795,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01789,BV10208830,亭江中学,119.51408,26.069453,119.5094293389939,26.072629874388,751032.8018105567,2886144.33832618,350100010055;350100010056;350100010063;350100010064;350100010308;350100010309;350100010688;350100010689;900000082325;900000082326;900000097540;900000097541;900000148759;900000148762;900000161723;900000161724,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01790,BV10208829,亭江,119.512383,26.065473,119.50772636249582,26.068642223764613,750870.8809147126,2885699.183794311,350100010055;350100010056;350100010308;350100010309;350100010688;350100010689;900000097540;900000097541;900000148759;900000148762;900000161723;900000161724,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01791,BV10208828,亭头,119.512587,26.062023,119.50793137330574,26.06519051645163,750898.7596626083,2885317.093974886,350100010055;350100010056;350100010063;350100010064;350100010308;350100010309;350100010688;350100010689;900000076998;900000076999;900000082325;900000082326;900000097540;900000097541;900000148759;900000148762;900000161723;900000161724,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01792,BV10208827,安福陵园,119.5104,26.052757,119.505736940708,26.05591182482416,750698.9044439001,2884284.69631741,350100010055;350100010056;350100010308;350100010309;350100010688;350100010689;900000097540;900000097541;900000161723;900000161724,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01793,BV10208826,闽安,119.506683,26.047443,119.5020064529612,26.05058315702828,750336.8545347224,2883687.055729257,350100010055;350100010056;350100010063;350100010064;350100010308;350100010309;350100010688;350100010689;900000076998;900000076999;900000082325;900000082326;900000097540;900000097541;900000161723;900000161724,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01794,BV11636627,侯官路南,119.20912,26.070335,119.20432289681736,26.07344333517713,720499.7557697026,2885682.157964024,350100010061;350100010062;900000122012;900000122013;900000169358;900000169359;900000199967,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01795,BV10208886,金桥,119.207406,26.072328,119.20260602241864,26.07543526518621,720324.2324911951,2885899.9493728247,350100010061;350100010062,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01796,BV10208883,上街镇政府,119.20398,26.07432,119.19917419317136,26.0774235783407,719977.1275075105,2886114.4442577115,350100010061;350100010062,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01797,BV10208882,梧洋村口,119.201278,26.076106,119.1964673746372,26.0792066202285,719702.9592927974,2886307.427507751,350100010061;350100010062,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01798,BV09473288,新峰社区,119.197778,26.078546,119.19296087845588,26.081642640119743,719347.570273475,2886571.41546261,350100010061;350100010062,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01799,BV09473287,上街旧街,119.194011,26.079727,119.18918671880476,26.082818133408125,718967.7631890659,2886695.302106758,350100010061;350100010062,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
